record_id,ticker,target_session_date,predicted_movement,prob_down,prob_flat,prob_up,downside_return,base_return,upside_return,same_ticker_history_count,reference_history_end_date,class_median_fallbacks,history_scope,scenario_method,disclaimer
11,AMD,2019-05-30,Up,0.2266416927432282,0.0813889005199122,0.6919694067368596,-0.06296700570578022,0.013450307098421623,0.061837596263571576,105,2019-05-02,,train_validation_same_ticker_earlier_only,reference_quantiles_plus_probability_weighted_class_medians,Historical research scenario; not investment advice or a forecast guarantee.
12,GOOGL,2019-05-30,Up,0.2304104996114113,0.1678274565087582,0.6017620438798305,-0.023514638583672757,0.0027159105109298047,0.02148987650703747,107,2019-05-08,,train_validation_same_ticker_earlier_only,reference_quantiles_plus_probability_weighted_class_medians,Historical research scenario; not investment advice or a forecast guarantee.
13,NVDA,2019-05-30,Up,0.2233495780961383,0.1116735278403058,0.664976894063556,-0.0368712909991626,0.00798095966689628,0.0559463986457531,91,2019-05-09,,train_validation_same_ticker_earlier_only,reference_quantiles_plus_probability_weighted_class_medians,Historical research scenario; not investment advice or a forecast guarantee.
14,TSLA,2019-05-30,Up,0.1752508934354864,0.078980779411254,0.7457683271532597,-0.04779379253499375,0.01354414583780972,0.0360394537232713,257,2019-05-14,,train_validation_same_ticker_earlier_only,reference_quantiles_plus_probability_weighted_class_medians,Historical research scenario; not investment advice or a forecast guarantee.
15,GOOGL,2019-05-31,Up,0.1649385101482433,0.3078233484957703,0.5272381413559863,-0.023514638583672757,0.003089855556246637,0.02148987650703747,107,2019-05-08,,train_validation_same_ticker_earlier_only,reference_quantiles_plus_probability_weighted_class_medians,Historical research scenario; not investment advice or a forecast guarantee.
16,AMZN,2019-06-03,Up,0.1778646980343204,0.1496271232439568,0.6725081787217227,-0.02205416518775645,0.009798082411553936,0.0622794417548899,156,2019-05-15,,train_validation_same_ticker_earlier_only,reference_quantiles_plus_probability_weighted_class_medians,Historical research scenario; not investment advice or a forecast guarantee.
17,MSFT,2019-06-03,Flat,0.1271153394303341,0.4657956460258187,0.407089014543847,-0.0127193847359085,0.005776061009216956,0.044300325474156674,119,2019-04-25,,train_validation_same_ticker_earlier_only,reference_quantiles_plus_probability_weighted_class_medians,Historical research scenario; not investment advice or a forecast guarantee.
18,NVDA,2019-06-03,Flat,0.180086572686102,0.5658133984834334,0.2541000288304645,-0.0368712909991626,0.0006685334547946722,0.0559463986457531,91,2019-05-09,,train_validation_same_ticker_earlier_only,reference_quantiles_plus_probability_weighted_class_medians,Historical research scenario; not investment advice or a forecast guarantee.
19,GOOGL,2019-06-04,Down,0.415111441539825,0.2775319510113758,0.3073566074487992,-0.023514638583672757,-0.0050683372948773465,0.02148987650703747,107,2019-05-08,,train_validation_same_ticker_earlier_only,reference_quantiles_plus_probability_weighted_class_medians,Historical research scenario; not investment advice or a forecast guarantee.
20,META,2019-06-04,Up,0.3733699848003168,0.2524610313095321,0.3741689838901511,-0.01580573193015213,0.005900475913596546,0.0405913519060487,102,2019-05-08,,train_validation_same_ticker_earlier_only,reference_quantiles_plus_probability_weighted_class_medians,Historical research scenario; not investment advice or a forecast guarantee.
21,NVDA,2019-06-07,Down,0.6788441251049221,0.1101044925996071,0.2110513822954708,-0.0368712909991626,-0.012974328920158755,0.0559463986457531,91,2019-05-09,,train_validation_same_ticker_earlier_only,reference_quantiles_plus_probability_weighted_class_medians,Historical research scenario; not investment advice or a forecast guarantee.
22,GOOGL,2019-06-10,Down,0.488486337399706,0.2979988807904654,0.2135147818098285,-0.023514638583672757,-0.007852503037640145,0.02148987650703747,107,2019-05-08,,train_validation_same_ticker_earlier_only,reference_quantiles_plus_probability_weighted_class_medians,Historical research scenario; not investment advice or a forecast guarantee.
23,AMD,2019-06-11,Down,0.7084105063029196,0.0925754029503615,0.1990140907467189,-0.06296700570578022,-0.015374023834121068,0.061837596263571576,105,2019-05-02,,train_validation_same_ticker_earlier_only,reference_quantiles_plus_probability_weighted_class_medians,Historical research scenario; not investment advice or a forecast guarantee.
24,NFLX,2019-06-13,Up,0.2241961017914843,0.3665498490995074,0.4092540491090083,-0.03148400270282696,0.010013752900952211,0.04454115305148498,100,2019-04-30,,train_validation_same_ticker_earlier_only,reference_quantiles_plus_probability_weighted_class_medians,Historical research scenario; not investment advice or a forecast guarantee.
25,TSLA,2019-06-13,Up,0.1857064274772668,0.0881958640158167,0.7260977085069165,-0.04779379253499375,0.012850534456492448,0.0360394537232713,257,2019-05-14,,train_validation_same_ticker_earlier_only,reference_quantiles_plus_probability_weighted_class_medians,Historical research scenario; not investment advice or a forecast guarantee.
26,INTC,2019-06-14,Flat,0.1445059958173807,0.6526503142073045,0.2028436899753146,-0.0216147341707751,0.0009439581722735229,0.020426834628361,186,2019-05-09,,train_validation_same_ticker_earlier_only,reference_quantiles_plus_probability_weighted_class_medians,Historical research scenario; not investment advice or a forecast guarantee.
27,MSFT,2019-06-14,Down,0.5544547517149327,0.2130832071278723,0.2324620411571949,-0.0127193847359085,-0.002223897666785859,0.044300325474156674,119,2019-04-25,,train_validation_same_ticker_earlier_only,reference_quantiles_plus_probability_weighted_class_medians,Historical research scenario; not investment advice or a forecast guarantee.
28,GOOGL,2019-06-17,Flat,0.1609748229618313,0.5705969120627193,0.2684282649754493,-0.023514638583672757,-0.00027852990163401486,0.02148987650703747,107,2019-05-08,,train_validation_same_ticker_earlier_only,reference_quantiles_plus_probability_weighted_class_medians,Historical research scenario; not investment advice or a forecast guarantee.
29,NVDA,2019-06-18,Up,0.1721074254684063,0.2549954007382418,0.5728971737933519,-0.0368712909991626,0.007405180411780197,0.0559463986457531,91,2019-05-09,,train_validation_same_ticker_earlier_only,reference_quantiles_plus_probability_weighted_class_medians,Historical research scenario; not investment advice or a forecast guarantee.
30,GOOGL,2019-06-19,Up,0.1448740102842144,0.3620054936733624,0.4931204960424232,-0.023514638583672757,0.003054049528104834,0.02148987650703747,107,2019-05-08,,train_validation_same_ticker_earlier_only,reference_quantiles_plus_probability_weighted_class_medians,Historical research scenario; not investment advice or a forecast guarantee.
31,GOOGL,2019-06-20,Down,0.3979679204374023,0.3945916744365106,0.207440405126087,-0.023514638583672757,-0.006042575385942966,0.02148987650703747,107,2019-05-08,,train_validation_same_ticker_earlier_only,reference_quantiles_plus_probability_weighted_class_medians,Historical research scenario; not investment advice or a forecast guarantee.
32,GOOGL,2019-06-24,Flat,0.1873968030753373,0.4428248038272495,0.369778393097413,-0.023514638583672757,0.0005210024740492951,0.02148987650703747,107,2019-05-08,,train_validation_same_ticker_earlier_only,reference_quantiles_plus_probability_weighted_class_medians,Historical research scenario; not investment advice or a forecast guarantee.
33,AMD,2019-06-28,Up,0.2331973436860689,0.0933532376924736,0.6734494186214575,-0.06296700570578022,0.012684501303064432,0.061837596263571576,105,2019-05-02,,train_validation_same_ticker_earlier_only,reference_quantiles_plus_probability_weighted_class_medians,Historical research scenario; not investment advice or a forecast guarantee.
34,TSLA,2019-07-03,Down,0.4169009261716352,0.2595921844922562,0.3235068893361085,-0.04779379253499375,-0.001704848157287461,0.0360394537232713,257,2019-05-14,,train_validation_same_ticker_earlier_only,reference_quantiles_plus_probability_weighted_class_medians,Historical research scenario; not investment advice or a forecast guarantee.
35,NFLX,2019-07-18,Down,0.4392153372700006,0.1238651672996031,0.4369194954303962,-0.03148400270282696,0.008247388357710887,0.04454115305148498,100,2019-04-30,,train_validation_same_ticker_earlier_only,reference_quantiles_plus_probability_weighted_class_medians,Historical research scenario; not investment advice or a forecast guarantee.
36,MSFT,2019-07-19,Up,0.2294226721426973,0.163199695934824,0.6073776319224787,-0.0127193847359085,0.008285510323996173,0.044300325474156674,119,2019-04-25,,train_validation_same_ticker_earlier_only,reference_quantiles_plus_probability_weighted_class_medians,Historical research scenario; not investment advice or a forecast guarantee.
37,NFLX,2019-07-22,Down,0.6050295710755682,0.0904862779157356,0.304484151008696,-0.03148400270282696,0.0018493238039199202,0.04454115305148498,100,2019-04-30,,train_validation_same_ticker_earlier_only,reference_quantiles_plus_probability_weighted_class_medians,Historical research scenario; not investment advice or a forecast guarantee.
38,META,2019-07-25,Down,0.4800325764903605,0.1311211295561412,0.3888462939534983,-0.01580573193015213,0.004847467046460493,0.0405913519060487,102,2019-05-08,,train_validation_same_ticker_earlier_only,reference_quantiles_plus_probability_weighted_class_medians,Historical research scenario; not investment advice or a forecast guarantee.
39,TSLA,2019-07-25,Up,0.2801530934776662,0.1043607696607275,0.6154861368616062,-0.04779379253499375,0.008205235479142042,0.0360394537232713,257,2019-05-14,,train_validation_same_ticker_earlier_only,reference_quantiles_plus_probability_weighted_class_medians,Historical research scenario; not investment advice or a forecast guarantee.
40,AMZN,2019-07-26,Up,0.1604665650905674,0.1293191641303886,0.710214270779044,-0.02205416518775645,0.010814685026622289,0.0622794417548899,156,2019-05-15,,train_validation_same_ticker_earlier_only,reference_quantiles_plus_probability_weighted_class_medians,Historical research scenario; not investment advice or a forecast guarantee.
41,GOOGL,2019-07-26,Up,0.2499070089512661,0.1123444171170864,0.6377485739316473,-0.023514638583672757,0.002788503121529209,0.02148987650703747,107,2019-05-08,,train_validation_same_ticker_earlier_only,reference_quantiles_plus_probability_weighted_class_medians,Historical research scenario; not investment advice or a forecast guarantee.
42,INTC,2019-07-26,Up,0.2040664056638836,0.1578591922575457,0.6380744020785706,-0.0216147341707751,0.005730009690803836,0.020426834628361,186,2019-05-09,,train_validation_same_ticker_earlier_only,reference_quantiles_plus_probability_weighted_class_medians,Historical research scenario; not investment advice or a forecast guarantee.
43,AMD,2019-07-29,Up,0.1779719325862766,0.1817232064130863,0.640304861000637,-0.06296700570578022,0.013153232094760228,0.061837596263571576,105,2019-05-02,,train_validation_same_ticker_earlier_only,reference_quantiles_plus_probability_weighted_class_medians,Historical research scenario; not investment advice or a forecast guarantee.
44,TSLA,2019-07-29,Down,0.7239046733781878,0.0923139359582397,0.1837813906635724,-0.04779379253499375,-0.011494871766061674,0.0360394537232713,257,2019-05-14,,train_validation_same_ticker_earlier_only,reference_quantiles_plus_probability_weighted_class_medians,Historical research scenario; not investment advice or a forecast guarantee.
45,AAPL,2019-07-31,Up,0.1496932497543319,0.3840814111678692,0.4662253390777988,-0.024931447421586435,0.004175382957347663,0.022378473087039948,158,2019-05-02,,train_validation_same_ticker_earlier_only,reference_quantiles_plus_probability_weighted_class_medians,Historical research scenario; not investment advice or a forecast guarantee.
46,AMD,2019-07-31,Up,0.2326739766962917,0.0739946220800646,0.6933314012236436,-0.06296700570578022,0.01332768172523471,0.061837596263571576,105,2019-05-02,,train_validation_same_ticker_earlier_only,reference_quantiles_plus_probability_weighted_class_medians,Historical research scenario; not investment advice or a forecast guarantee.
