record_id,ticker,query_session_date,predicted_movement,historical_rank,historical_article_id,historical_session_date,historical_source_url,historical_movement_label,historical_reaction_return,text_similarity,candidate_scope,retrieval_rule
82,AMD,2019-10-30,Up,3,d61564774d95c62564e8f250,2017-02-01,https://www.sec.gov/Archives/edgar/data/2488/000000248817000017/a20170131q416earnings8-k.htm,Up,0.1629701060752171,1.0000000000000002,train_validation_reference_only,same_ticker_reference_and_strictly_earlier_only
82,AMD,2019-10-30,Up,4,e0ae6b64e83057e0d21ce3cd,2019-05-01,https://www.sec.gov/Archives/edgar/data/2488/000000248819000043/a20190430q119earnings8-k.htm,Down,-0.0296778863554108,1.0000000000000002,train_validation_reference_only,same_ticker_reference_and_strictly_earlier_only
82,AMD,2019-10-30,Up,5,b98365cf3d2d99e655105e0b,2017-02-22,https://www.sec.gov/Archives/edgar/data/2488/000000248817000041/amd-form8xk2016eip022117fi.htm,Up,0.02,1.0000000000000002,train_validation_reference_only,same_ticker_reference_and_strictly_earlier_only
83,AAPL,2019-10-31,Flat,1,d8daed40214d6bcf5169854e,2019-05-02,https://www.sec.gov/Archives/edgar/data/320193/000032019319000066/a10-qq220193302019.htm,Down,-0.0065076952323532,0.6652563577871193,train_validation_reference_only,same_ticker_reference_and_strictly_earlier_only
83,AAPL,2019-10-31,Flat,2,666efb4dad7c578ca6961aa9,2018-05-03,https://www.sec.gov/Archives/edgar/data/320193/000032019318000070/a10-qq220183312018.htm,Flat,0.0018123123958275,0.6652563577871193,train_validation_reference_only,same_ticker_reference_and_strictly_earlier_only
83,AAPL,2019-10-31,Flat,3,1d74296f328d91ba98fabab0,2017-11-03,https://www.sec.gov/Archives/edgar/data/320193/000032019317000070/a10-k20179302017.htm,Up,0.0261138540241536,0.6652563577871193,train_validation_reference_only,same_ticker_reference_and_strictly_earlier_only
83,AAPL,2019-10-31,Flat,4,ce3bc788029603e2840222a4,2018-08-02,https://www.sec.gov/Archives/edgar/data/320193/000032019318000100/a10-qq320186302018.htm,Up,0.0292307692307951,0.6652563577871193,train_validation_reference_only,same_ticker_reference_and_strictly_earlier_only
83,AAPL,2019-10-31,Flat,5,fbda98679688c0a85e8dcd34,2016-04-28,https://www.sec.gov/Archives/edgar/data/320193/000119312516559625/d165350d10q.htm,Down,-0.0305663463483272,0.6652563577871193,train_validation_reference_only,same_ticker_reference_and_strictly_earlier_only
84,AMD,2019-10-31,Up,1,3921218f56433ad0489f6667,2019-05-02,https://www.sec.gov/Archives/edgar/data/2488/000000248819000045/amd0330201910q.htm,Up,0.0552032823573294,1.0,train_validation_reference_only,same_ticker_reference_and_strictly_earlier_only
84,AMD,2019-10-31,Up,2,678c3373f5f989e0074c47d7,2017-11-03,https://www.sec.gov/Archives/edgar/data/2488/000000248817000227/amd0930201710q.htm,Up,0.0248847926267281,1.0,train_validation_reference_only,same_ticker_reference_and_strictly_earlier_only
84,AMD,2019-10-31,Up,3,9c1a1dac36c56eb93155d808,2016-02-19,https://www.sec.gov/Archives/edgar/data/2488/000000248816000111/amd-12262015x10k.htm,Flat,0.0,1.0,train_validation_reference_only,same_ticker_reference_and_strictly_earlier_only
84,AMD,2019-10-31,Up,4,d3e96e65945de322b39c4a2f,2016-10-27,https://www.sec.gov/Archives/edgar/data/2488/000000248816000263/amd0924201610q.htm,Down,-0.0246913580246913,1.0,train_validation_reference_only,same_ticker_reference_and_strictly_earlier_only
